game,timestamp,type,anonymized,predicted_res_0
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2749,y-card,[PLAYER] ([TEAM]) gets a yellow card. The referee [REFEREE] made the right call.,"The game is interrupted now, [PLAYER] ([TEAM]) picks up a knock and the physio has to come on."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,2,197,,[PLAYER] ([TEAM]) receives a brilliant pass and wastes a big opportunity as his shot from inside the penalty area flies narrowly wide of the left post.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,2,100,,"[PLAYER] ([TEAM]) attempted to pick out a free teammate inside the box, but [PLAYER] comes off the line to clear the ball away.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball goes out of play and [TEAM] will have a goal kick."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,2,1,whistle,The game restarts for the second half.,The half-time break is over and the second half is about to start.
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,2743,soccer-ball,"GOAL - 0:2! [PLAYER] found [PLAYER] ([TEAM]) inside the box, he spotted goalkeeper [PLAYER] off his line and chipped the ball into the net. What a cheeky lob!","[PLAYER] ([TEAM]) receives a precise pass inside the box, but his effort on goal is blocked by one of the defending players. The ball is out of play. [TEAM] will have a chance to score from a corner."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,2611,y-card,[PLAYER] ([TEAM]) has tested the patience of referee [REFEREE] and goes into the book for a previous late challenge.,The foul by [PLAYER] ([TEAM]) is worthy of a card and a yellow is duly shown by [REFEREE].
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,2521,,The foul by [PLAYER] ([TEAM]) was seen by [REFEREE] who didn't hesitate to blow the whistle.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball goes out of play and [TEAM] will have a goal kick."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,2395,corner,"[PLAYER] ([TEAM]) takes the corner kick and sends a lovely ball into the penalty area, but the opposition's defence is ready and knocks the ball to safety.","The ball is whipped in from the corner by [PLAYER] ([TEAM]), but one of the defenders gets it clear. [TEAM] have been awarded a corner kick. The referee and one of his assistants both point at the corner flag."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,2369,,"[PLAYER] ([TEAM]) stands over the free kick and opts to take it himself, sending it towards the right post only for [PLAYER] to dive and make a save. [TEAM] have been awarded a corner kick.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball is out of play. [TEAM] win a corner kick."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,2292,y-card,"[PLAYER] ([TEAM]) is awarded a yellow card for his tackle. He doesn't seem to agree with the decision, but [REFEREE] ignores the protests.","[PLAYER] ([TEAM]) sends a cross into the box, but [PLAYER] comes off his line to gather the ball."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,2258,,"[PLAYER] ([TEAM]) receives a good pass just outside the box, unleashes a strike from a promising position, but the shot is blocked by the defender.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,2169,,[PLAYER] ([TEAM]) skips past his man but can't keep the ball in play.,"[PLAYER] ([TEAM]) goes on a solo run, but he fails to create a chance as an opposition player blocks him. The ball goes out of play and [TEAM] manage to earn a corner."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,2110,substitution,[COACH] is forced to make a change. [PLAYER] is not able to carry on due to injury. He is replaced by [PLAYER] ([TEAM]).,"[PLAYER] ([TEAM]) is awarded a yellow card for his tackle. He doesn't seem to agree with the decision, but [REFEREE] ignores the protests."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,2080,,[PLAYER] ([TEAM]) climbs high to connect with a cross near the penalty spot but plants a header high over the bar.,"[PLAYER] ([TEAM]) sends a cross into the box, but [PLAYER] comes off his line to gather the ball."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,2066,corner,"[PLAYER] ([TEAM]) lifts the ball into the box from the corner, but one of the defending players gets there first to head it clear.","[PLAYER] ([TEAM]) swings in the corner kick, but one of the defenders leaps highest to head the ball away."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,2040,,[PLAYER] is not given a chance to finish after receiving a sweet pass by [PLAYER] ([TEAM]). The ball is out of play. [TEAM] will have a chance to score from a corner.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,1875,injury,"The game is interrupted now, [PLAYER] ([TEAM]) picks up a knock and the physio has to come on.","The game is interrupted now, [PLAYER] ([TEAM]) picks up a knock and the physio has to come on."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,1852,,"[PLAYER] ([TEAM]) makes a slide tackle, but referee [REFEREE] blows for a foul.",[PLAYER] ([TEAM]) is clearly asking for some medical attention with his painful gestures. The extent of his injury is yet to be discovered.
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,1768,,[PLAYER] ([TEAM]) plays a through ball but overhits it.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball goes out of play and [TEAM] will have a goal kick."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,1715,,"Wonderful pass from [PLAYER] ([TEAM]) for [PLAYER], but they can't profit from it as [PLAYER] comes off his line to collect.","[PLAYER] ([TEAM]) goes on a solo run, but he fails to create a chance as an opposition player blocks him. The ball goes out of play and [TEAM] will have a goal kick."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,1582,,"[PLAYER] ([TEAM]) decides to strike the ball towards goal, but his effort fails to threaten the goalkeeper after being well blocked by one of the defenders.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,1494,,"[PLAYER] ([TEAM]) slaloms his way past challenges, but an opposing player does well to get the ball away. The linesman signals a throw-in for [TEAM].","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball is out of play. [TEAM] will have a chance to score from a corner."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,1330,,"[PLAYER] ([TEAM]) looks to break free, but an opposing player clears the ball away.","[PLAYER] ([TEAM]) goes on a solo run, but he fails to create a chance as an opposition player blocks him. [TEAM] have been awarded a corner kick. The referee and one of his assistants both point at the corner flag."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,1326,,[PLAYER] latches onto a perfect defence-splitting pass from [PLAYER] ([TEAM]) and heads towards goal.,"[PLAYER] ([TEAM]) goes on a solo run, but he fails to create a chance as an opposition player blocks him. The ball is out of play. [TEAM] will have a chance to score from a corner."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,1212,,"[PLAYER] ([TEAM]) sends a long ball across the pitch, but it misses its target. The ball goes out of play and [TEAM] will have a goal kick.","[PLAYER] ([TEAM]) goes on a solo run, but he fails to create a chance as an opposition player blocks him. The ball goes out of play and [TEAM] will have a goal kick."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,1112,,"Flag up against [PLAYER] ([TEAM]). He had space to move into behind the defence, but he went too soon.","[PLAYER] ([TEAM]) sends a cross into the box, but [PLAYER] comes off his line to gather the ball."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,1080,,[PLAYER] ([TEAM]) commits a foul and [REFEREE] immediately signals a free kick.,"[PLAYER] ([TEAM]) is awarded a yellow card for his tackle. He doesn't seem to agree with the decision, but [REFEREE] ignores the protests."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,1075,,Flag goes up against [PLAYER] ([TEAM]) and the referee blows his whistle for offside.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball goes out of play and [TEAM] will have a goal kick."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,990,,"[PLAYER] ([TEAM]) jumps for a cross and produces a fine header from near the penalty spot, but it goes a whisker over the bar! What a huge opportunity!","[PLAYER] ([TEAM]) sends a cross into the box, but [PLAYER] comes off his line to gather the ball."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,935,,[PLAYER] ([TEAM]) is disappointed with himself because he got into a good area but produced a poor cross.,"[PLAYER] ([TEAM]) attempts to find [PLAYER], but puts far too much on the pass and the chance is gone. The ball goes out of play and [TEAM] will have a goal kick."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,840,,The [TEAM] players keep the ball and are exchanging a combination of passes. They are waiting for gaps in the defence to open up.,"[PLAYER] ([TEAM]) attempts to find [PLAYER], but puts far too much on the pass and the chance is gone."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,739,y-card,[PLAYER] ([TEAM]) is shown a yellow card after a horrible tackle.,"[PLAYER] ([TEAM]) is awarded a yellow card for his tackle. He doesn't seem to agree with the decision, but [REFEREE] ignores the protests."
england_epl_2015-2016,2016-03-01 - 22-45 Norwich 1 - 2 Chelsea,1,615,,Here is another series of one touch passes by [PLAYER] ([TEAM]). It's obvious that these passes are their most common way to start with a new quick attack and to get rid of the opponent's defenders.,"A pass by [PLAYER] ([TEAM]) ends up in no man's land, and the attacking effort comes to an end."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,2913,y-card,[PLAYER] ([TEAM]) infringed the rules and goes into the book. [REFEREE] pulls out a yellow card.,"The game is interrupted now, [PLAYER] ([TEAM]) picks up a knock and the physio has to come on."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,2885,substitution,[COACH] prepares a substitution. [PLAYER] is replaced by [PLAYER] ([TEAM]).,The referee stops play so that a substitution can be made and [PLAYER] departs the field of play to be replaced by [PLAYER] ([TEAM]).
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,2875,substitution,We are about to witness a substitution. [PLAYER] ([TEAM]) is replacing [PLAYER].,The referee stops play so that a substitution can be made and [PLAYER] departs the field of play to be replaced by [PLAYER] ([TEAM]).
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,2832,,Flag goes up against [PLAYER] ([TEAM]) and the referee blows his whistle for offside.,"[PLAYER] ([TEAM]) sends a cross into the box, but [PLAYER] comes off his line to gather the ball."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,2814,corner,"The resulting corner, taken by [PLAYER] ([TEAM]), comes to nothing.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball goes out of play. [TEAM] are awarded a corner kick."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,2778,,"[PLAYER] ([TEAM]) receives a good pass just outside the box, unleashes a strike from a promising position, but the shot is blocked by the defender. The referee blows his whistle, [TEAM] are awarded a corner kick.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,2658,,[PLAYER] ([TEAM]) latches on to a precise defence-splitting pass and fires a nice strike from a promising distance towards the middle of the goal. [PLAYER] has a clear sight of it and makes a comfortable save.,[REFEREE] blows his whistle after [PLAYER] ([TEAM]) brings one of his opponents down with a strong tackle. [TEAM] earn a free kick which could lead to a goal-scoring opportunity.
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,2564,substitution,The referee stops play so that a substitution can be made and [PLAYER] ([TEAM]) comes onto the pitch for [PLAYER].,The referee stops play so that a substitution can be made and [PLAYER] departs the field of play to be replaced by [PLAYER] ([TEAM]).
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,2388,y-card,What was [PLAYER] ([TEAM]) thinking? He will not get away with that. The referee shows him a yellow card.,[REFEREE] blows his whistle for a foul after [PLAYER] ([TEAM]) hacks down one of his opponents. [TEAM] earn a free kick which could lead to a goal-scoring opportunity.
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,2344,,"[PLAYER] ([TEAM]) timed his run perfectly to connect with the resulting corner kick, but his finish from around the penalty spot was rather poor as it went way over the bar.","[PLAYER] ([TEAM]) swings in the corner, but one of the defending players gets a head on it and intercepts."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,2343,corner,[PLAYER] ([TEAM]) is about to take a corner kick.,"[PLAYER] ([TEAM]) swings in the corner, but one of the defending players gets a head on it and intercepts."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,2320,,"[PLAYER] ([TEAM]) sends a pass into the box, but his attempt is thwarted and cleared. The referee points to the corner flag and [TEAM] will take a corner.",[PLAYER] ([TEAM]) fails to find any of his teammates inside the box as his pass is blocked. The ball goes out of play. [TEAM] are awarded a corner kick.
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,2231,substitution,"Substitution. [PLAYER] ([TEAM]) in, [PLAYER] out.",The referee stops play so that a substitution can be made and [PLAYER] departs the field of play to be replaced by [PLAYER] ([TEAM]).
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,2080,,Excellent touch by [PLAYER] ([TEAM])! He latches on to a precise pass on the edge of the box and produces a shot goalwards which goes way wide of the left post. The ball goes out of play and [TEAM] will have a goal kick.,The ball is cleared after [PLAYER] ([TEAM]) attempted to dribble past an opposing player. The ball is out of play and the linesman points at the corner flag. Corner to [TEAM].
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,2043,,[PLAYER] ([TEAM]) gets on the end of a pass on the edge of the box but his shot is blocked.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,1922,,[PLAYER] ([TEAM]) will take the free kick.,"[PLAYER] ([TEAM]) is awarded a yellow card for his tackle. He doesn't seem to agree with the decision, but [REFEREE] ignores the protests."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,1898,y-card,A yellow-coloured card is received by [PLAYER] ([TEAM]).,"The game is interrupted now, [PLAYER] ([TEAM]) picks up a knock and the physio has to come on."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,1850,,The referee and the linesman both signal a throw-in for [TEAM].,"[PLAYER] ([TEAM]) goes on a solo run, but he fails to create a chance as an opposition player blocks him."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,1676,corner,"[PLAYER] ([TEAM]) lifts the ball into the box from the corner, but one of the defending players gets there first to head it clear.",[PLAYER] ([TEAM]) takes the free kick but it is cleared by the first defender.
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,1646,,"[PLAYER] ([TEAM]) tries to send a low pass into the box, but it's blocked and cleared. The referee points to the corner flag. It's a corner to [TEAM].","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the effort. The ball is out of play. [TEAM] are awarded a corner kick."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,1578,soccer-ball,Gooal! [PLAYER] ([TEAM]) scores with a shot from inside the box after latching onto a headed pass from [PLAYER]. He makes it 1:1.,Goal! [PLAYER] ([TEAM]) was in the right place at the right time to get to the rebound inside the box and send the ball into the back of the net. 0:2.
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,1486,,[PLAYER] ([TEAM]) is caught offside!,"The game is interrupted now, [PLAYER] ([TEAM]) picks up a knock and the physio has to come on."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,1420,substitution,Substitution. [PLAYER] will be replaced by [PLAYER] ([TEAM]).,The referee stops play so that a substitution can be made and [PLAYER] departs the field of play to be replaced by [PLAYER] ([TEAM]).
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,1324,,The ball is behind the sideline. [PLAYER] ([TEAM]) takes a throw-in.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball is out of play. [TEAM] win a corner kick."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,1149,corner,The corner kick from [PLAYER] ([TEAM]) is headed out of the penalty area by one of the defenders.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,1129,,"What a great chance for [PLAYER] ([TEAM]). He times his jump superbly when he leaps high to meet a precise cross from the corner, directing his towering header inside the left post, but the goalkeeper denies him with a miraculous save. [TEAM] have been awarded a corner kick.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball goes out of play. [TEAM] are awarded a corner kick."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,1128,corner,[PLAYER] ([TEAM]) will take a corner kick.,[PLAYER] ([TEAM]) works the corner short instead of sending the ball into the penalty area.
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,1105,,"[PLAYER] ([TEAM]) stands over the free kick and opts to take it himself, sending it towards the top of net only for [PLAYER] to dive and make a save. The ball is out of play. [TEAM] win a corner kick.","[PLAYER] ([TEAM]) rises above the defence to meet a cross from the free kick, but his header goes narrowly wide of the left post."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,1042,y-card,[PLAYER] ([TEAM]) commits a foul and is shown a yellow card without any hesitation from the referee.,"[PLAYER] ([TEAM]) whips the ball in, but it fails to reach any of his teammates as the opposition's defence averts the threat."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,992,,"[PLAYER] ([TEAM]) takes a shot after receiving a good pass, but his effort from the edge of the box goes just over the crossbar.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,878,,"[PLAYER] ([TEAM]) sends a teasing cross into the area, but [PLAYER] intercepts the ball.","[PLAYER] ([TEAM]) sends a cross into the box, but [PLAYER] comes off his line to gather the ball."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,806,,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,614,,"The assistant referee raises his flag and the referee blows his whistle. [PLAYER] ([TEAM]) puts the ball into the net, but he is flagged for offside.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,599,,[PLAYER] ([TEAM]) is going to send the ball in from the free kick.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball goes behind for a corner. [TEAM] will have an opportunity to threaten the opposition's goal."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,582,,A player from [TEAM] brings down an opponent and commits a foul.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball goes behind for a corner. [TEAM] will have an opportunity to threaten the opposition's goal."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,531,corner,[PLAYER] ([TEAM]) launches an inaccurate corner kick into the penalty area.,"[PLAYER] ([TEAM]) is awarded a yellow card for his tackle. He doesn't seem to agree with the decision, but [REFEREE] ignores the protests."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,491,,"[PLAYER] ([TEAM]) meets a pass on the edge of the penalty area and shoots towards the bottom right corner. He didn't put enough power into the effort, though, and [PLAYER] pulls off an easy save. The referee signals a corner kick to [TEAM].","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,430,,[PLAYER] ([TEAM]) sees his header crash off the crossbar after meeting a corner kick inside the six-yard box. The goalkeeper would have been helpless.,"[PLAYER] ([TEAM]) swings in the corner kick, but one of the defenders leaps highest to head the ball away."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,426,corner,Corner kick. [PLAYER] ([TEAM]) is ready to send the ball into the box.,[PLAYER] ([TEAM]) goes over to take the corner kick and it looks like he will swing the ball into the penalty box.
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,429,,[PLAYER] ([TEAM]) fails to deliver a decent cross from a long-range free kick. The opposition's defence intercepts the effort. The ball goes out for a corner. [TEAM] can continue in their attacking effort.,[PLAYER] ([TEAM]) goes over to take the corner kick and it looks like he will swing the ball into the penalty box.
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,337,y-card,[PLAYER] ([TEAM]) has to be very careful for the rest of the match after receiving a yellow card from the referee for a bad tackle on an opponent.,[PLAYER] ([TEAM]) is penalised for holding. [REFEREE] had a clear sight at the situation and he doesn't hesitate to blow his whistle.
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,303,,"What a poor attempt! [PLAYER] ([TEAM]) drives another shot towards goal - this time from further out, but it couldn't have been worse if he had shot blindfolded. The ball goes yards wide of the left post.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball goes behind for a corner. [TEAM] will have an opportunity to threaten the opposition's goal."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,202,,[PLAYER] ([TEAM]) seems to be alright and is okay to carry on.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,191,,[PLAYER] ([TEAM]) is forced to stop his attacking move after the linesman signals for offside.,"The ball is whipped in from the corner by [PLAYER] ([TEAM]), but one of the defenders gets it clear. [TEAM] have been awarded a corner kick. The referee and one of his assistants both point at the corner flag."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,128,injury,[PLAYER] ([TEAM]) is clearly asking for some medical attention with his painful gestures. The extent of his injury is yet to be discovered.,The foul by [PLAYER] ([TEAM]) is worthy of a card and a yellow is duly shown by [REFEREE].
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,73,,[PLAYER] ([TEAM]) wastes a big chance! He unleashes a shot from the edge of the box and it goes narrowly over the crossbar.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,1,whistle,The half-time break is over and the second half is about to start.,The half-time break is over and the second half is about to start.
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,1,2735,y-card,[PLAYER] ([TEAM]) is literally asking for a yellow card with his behaviour. The referee agrees and books him.,[REFEREE] blows his whistle for a foul after [PLAYER] ([TEAM]) hacks down one of his opponents. [TEAM] are awarded a free kick which could lead to a goal-scoring opportunity.
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,1,2567,soccer-ball,Goal! [PLAYER] ([TEAM]) slams home the penalty with a precise low shot into the bottom left corner.,Goal! [PLAYER] ([TEAM]) slams the ball into the back of the net from the penalty spot after [PLAYER] ([TEAM]) was brought down inside the box.
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,1,2565,,[PLAYER] ([TEAM]) is heading towards the penalty spot to take it.,[PLAYER] ([TEAM]) is heading towards the penalty spot to take it.
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,1,2514,penalty,[PLAYER] ([TEAM]) brings his opponent down. [REFEREE] has a clear sight of it and blows his whistle for a foul. [TEAM] are awarded a penalty kick!,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball is out of play. [TEAM] will have a chance to score from a corner."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,1,2485,,[PLAYER] ([TEAM]) tries to slide the ball through to a teammate but it's well blocked by a defender.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,1,2399,,[PLAYER] ([TEAM]) starts his run too early and the referee blows for offside.,"A pass by [PLAYER] ([TEAM]) ends up in no man's land, and the attacking effort comes to an end."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,1,2282,,The ball is out of play. [TEAM] will have a throw-in.,"A pass by [PLAYER] ([TEAM]) ends up in no man's land, and the attacking effort comes to an end. The ball goes behind for a corner. [TEAM] will have an opportunity to threaten the opposition's goal."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,1,2102,,[PLAYER] ([TEAM]) takes a direct free kick.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the effort. The ball goes out of play and [TEAM] will have a goal kick."
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,1,2035,,[PLAYER] ([TEAM]) makes a strong challenge and [REFEREE] blows for a foul.,[PLAYER] ([TEAM]) makes a reckless foul in order to win the ball from his opponent. [REFEREE] has a clear sight of it and blows his whistle. [TEAM] are awarded a free kick.
